p,size of spine,size of center,size of graph,Fp vertices in center
4889,44,385,408,39
4903,27,384,409,18
4909,15,390,409,10
4919,91,349,411,49
4931,70,356,412,42
4933,13,405,411,11
4937,22,376,412,14
4943,55,339,413,27
4951,31,377,413,19
4957,13,380,413,10
4967,59,362,415,32
4969,28,389,414,17
4973,33,378,415,28
4987,18,412,416,18
4993,16,416,416,16
4999,33,388,417,20
5003,30,391,418,11
5009,30,387,418,27
5011,42,406,418,34
5021,39,2,419,0
5023,25,382,419,14
5039,83,351,421,35
5051,58,384,422,44
5059,38,385,422,21
5077,11,416,423,8
5081,58,363,424,29
5087,69,374,425,40
5099,78,2,426,0
5101,23,400,425,16
5107,14,406,426,10
5113,22,401,426,19
5119,39,396,427,18
5147,38,359,430,25
5153,18,395,430,13
5167,33,393,431,23
5171,70,370,432,38
5179,22,423,432,19
5189,49,389,433,31
5197,17,409,433,13
5209,22,423,434,19
5227,30,402,436,22
5231,75,383,437,45
5233,12,406,436,8
5237,23,379,437,19
5261,41,378,439,20
5273,20,403,440,15
5279,87,317,441,29
5281,26,434,440,24
5297,36,387,442,23
5303,55,383,443,31
5309,53,381,443,29
5323,30,429,444,21
5333,31,347,445,21
5347,26,432,446,20
5351,93,382,447,50
5381,63,360,449,20
5387,46,385,450,15
5393,36,355,450,25
5399,79,349,451,27
5407,43,422,451,28
5413,9,413,451,7
5417,36,403,452,29
5419,26,439,452,17
5431,57,396,453,24
5437,15,430,453,12
5441,34,415,454,23
5443,18,420,454,12
5449,28,418,454,22
5471,71,364,457,28
5477,37,340,457,14
5479,43,424,457,26
5483,34,361,458,13
5501,43,408,459,32
5503,25,437,459,19
5507,46,387,460,23
5519,97,347,461,37
5521,30,452,460,26
5527,19,435,461,9
5531,46,404,462,24
5557,17,409,463,7
5563,30,431,464,15
5569,16,444,464,12
5573,31,376,465,18
5581,21,441,465,15
5591,99,367,467,33
5623,33,414,469,16
5639,87,370,471,32
5641,20,408,470,18
5647,21,430,471,16
5651,62,407,472,43
5653,15,435,471,9
5657,28,410,472,20
5659,38,432,472,26
5669,53,398,473,28
5683,22,411,474,17
5689,26,422,474,16
5693,31,381,475,13
5701,19,445,475,13
5711,109,312,477,36
5717,39,369,477,13
5737,18,412,478,10
5741,47,382,479,26
5743,29,424,479,16
5749,25,400,479,14
5779,26,442,482,20
5783,53,350,483,16
5791,33,432,483,20
5801,56,378,484,26
5807,65,386,485,24
5813,39,390,485,18
5821,23,369,485,13
5827,30,456,486,22
5839,37,423,487,17
5843,50,397,488,17
5849,52,407,488,23
5851,42,421,488,11
5857,18,461,488,11
5861,33,410,489,20
5867,42,435,490,31
5869,23,455,489,19
5879,101,378,491,32
5881,26,455,490,21
5897,24,389,492,19
5903,73,331,493,25
5923,14,440,494,12
5927,71,364,495,14
5939,70,374,496,18
5953,22,431,496,15
5981,63,424,499,32
5987,30,423,500,15
6007,27,452,501,14
6011,54,419,502,25
6029,35,356,503,12
6037,17,461,503,7
6043,18,436,504,14
6047,71,386,505,20
6053,25,355,505,15
6067,30,467,506,23
6073,12,389,506,9
6079,57,402,507,14
6089,58,400,508,22
6091,30,430,508,16
6101,53,394,509,20
6113,34,393,510,19
6121,22,437,510,13
6131,62,342,512,18
6133,21,401,511,7
6143,41,369,513,15
6151,59,383,513,15
