p,size of spine,size of center,size of graph,Fp vertices in center
3499,22,67,292,1
3511,41,92,293,18
3517,15,50,293,0
3527,65,60,295,2
3529,14,152,294,6
3533,35,100,295,2
3539,46,70,296,2
3541,19,94,295,2
3547,18,48,296,0
3557,17,146,297,2
3559,45,70,297,8
3571,30,113,298,9
3581,25,95,299,3
3583,29,55,299,5
3593,20,168,300,4
3607,19,91,301,1
3613,13,59,301,1
3617,30,48,302,2
3623,45,131,303,11
3631,43,88,303,8
3637,11,53,303,3
3643,18,86,304,4
3659,58,36,306,0
3671,81,88,307,2
3673,14,71,306,1
3677,17,106,307,6
3691,26,149,308,5
3697,10,97,308,1
3701,45,61,309,1
3709,21,88,309,0
3719,67,45,311,7
3727,31,136,311,12
3733,9,88,311,0
3739,22,80,312,8
3761,40,58,314,2
3767,39,79,315,15
3769,24,84,314,2
3779,62,28,316,0
3793,18,54,316,0
3797,29,41,317,1
3803,30,66,318,2
3821,47,40,319,0
3823,29,54,319,6
3833,22,62,320,0
3847,23,69,321,9
3851,50,55,322,1
3853,13,49,321,1
3863,61,37,323,3
3877,15,44,323,0
3881,36,121,324,1
3889,18,90,324,6
3907,14,55,326,1
3911,83,33,327,1
3917,21,57,327,1
3919,39,47,327,5
3923,46,72,328,2
3929,44,57,328,1
3931,22,86,328,6
3943,27,84,329,8
3947,34,26,330,0
3967,33,30,331,0
3989,49,56,333,0
4001,36,67,334,3
4003,26,56,334,0
4007,57,33,335,3
4013,21,36,335,0
4019,38,59,336,1
4021,31,131,335,1
4027,18,29,336,1
4049,36,10,338,0
4051,22,20,338,0
4057,10,70,338,2
4073,28,58,340,0
4079,85,14,341,0
4091,66,26,342,0
4093,13,30,341,0
4099,30,43,342,3
4111,39,56,343,10
4127,49,73,345,9
4129,18,34,344,2
4133,39,24,345,0
4139,38,46,346,0
4153,10,41,346,1
4157,41,10,347,0
4159,31,76,347,4
4177,20,48,348,0
4201,18,48,350,4
4211,46,26,352,0
4217,26,40,352,0
4219,30,11,352,1
4229,39,18,353,0
4231,51,62,353,2
4241,54,16,354,0
4243,18,39,354,1
4253,21,30,355,0
4259,70,14,356,0
4261,17,20,355,0
4271,65,37,357,1
4273,12,23,356,1
4283,42,37,358,1
4289,56,4,358,0
4297,18,22,358,0
4327,19,41,361,1
4337,18,19,362,3
4339,34,71,362,1
4349,21,30,363,0
4357,15,2,363,0
4363,18,31,364,1
4373,35,18,365,0
4391,79,12,367,0
4397,27,18,367,2
4409,34,43,368,1
4421,45,12,369,0
4423,33,5,369,1
4441,28,10,370,0
4447,17,11,371,1
4451,58,2,372,0
4457,30,15,372,1
4463,55,15,373,1
4481,32,2,374,0
4483,18,18,374,0
4493,19,4,375,0
4507,26,12,376,0
4513,12,8,376,0
4517,27,20,377,0
4519,29,5,377,5
4523,42,40,378,2
4547,34,12,380,0
4549,29,14,379,0
4561,18,13,380,1
4567,33,6,381,0
4583,61,20,383,0
4591,49,14,383,0
4597,19,14,383,0
4603,14,8,384,0
4621,13,54,385,0
4637,39,4,387,0
4639,51,7,387,5
4643,26,4,388,0
4649,44,20,388,0
4651,34,12,388,0
4657,12,26,388,0
4663,33,7,389,5
4673,26,10,390,2
4679,91,4,391,0
4691,42,6,392,0
4703,75,11,393,1
4721,44,15,394,1
4723,18,6,394,0
4729,20,6,394,0
4733,29,8,395,0
4751,91,14,397,0
4759,55,319,397,27
4783,23,5,399,1
4787,50,8,400,0
4789,15,18,399,0
4793,36,276,400,8
4799,63,3,401,1
4801,28,4,400,0
4813,15,4,401,0
4817,28,8,402,0
4831,33,12,403,4
4861,29,6,405,0
4871,91,2,407,0
4877,33,10,407,0
4889,44,4,408,0
4903,27,3,409,1
4909,15,22,409,0
4919,91,247,411,21
4931,70,2,412,0
4933,13,4,411,0
4937,22,5,412,1
4943,55,307,413,23
4951,31,12,413,2
4957,13,342,413,6
4967,59,257,415,25
4969,28,2,414,0
4973,33,10,415,0
4987,18,342,416,4
4993,16,11,416,1
4999,33,5,417,1
5003,30,236,418,4
5009,30,218,418,8
5011,42,256,418,8
5021,39,4,419,0
5023,25,1,419,1
5039,83,187,421,13
5051,58,234,422,16
5059,38,4,422,0
5077,11,369,423,9
5081,58,2,424,0
5087,69,2,425,0
5099,78,2,426,0
5101,23,281,425,5
5107,14,8,426,0
5113,22,2,426,0
5119,39,6,427,4
5147,38,245,430,13
5153,18,1,430,1
5167,33,4,431,0
5171,70,243,432,5
5179,22,240,432,6
5189,49,255,433,7
5197,17,344,433,6
5209,22,221,434,9
5227,30,257,436,5
5231,75,211,437,23
5233,12,295,436,9
5237,23,6,437,0
5261,41,210,439,4
5273,20,292,440,10
5279,87,6,441,0
5281,26,293,440,7
5297,36,291,442,5
5303,55,289,443,17
5309,53,2,443,0
5323,30,4,444,0
5333,31,2,445,0
5347,26,220,446,4
5351,93,156,447,8
5381,63,253,449,3
5387,46,291,450,15
5393,36,253,450,3
5399,79,183,451,13
5407,43,258,451,18
5413,9,300,451,6
5417,36,266,452,10
5419,26,214,452,2
5431,57,2,453,0
5437,15,245,453,1
5441,34,269,454,5
5443,18,239,454,3
5449,28,202,454,6
5471,71,159,457,9
5477,37,276,457,8
5479,43,245,457,15
5483,34,225,458,5
5501,43,255,459,11
5503,25,1,459,1
5507,46,189,460,5
5519,97,265,461,25
5521,30,2,460,0
5527,19,265,461,11
5531,46,1,462,1
5557,17,183,463,1
5563,30,170,464,6
5569,16,289,464,5
5573,31,255,465,5
5581,21,293,465,15
5591,99,158,467,4
5623,33,255,469,19
5639,87,155,471,11
5641,20,357,470,11
5647,21,218,471,6
5651,62,304,472,16
5653,15,326,471,4
5657,28,207,472,1
5659,38,232,472,4
5669,53,133,473,1
5683,22,266,474,8
5689,26,177,474,9
5693,31,330,475,10
5701,19,175,475,1
5711,109,268,477,16
5717,39,183,477,7
5737,18,212,478,6
5741,47,4,479,0
5743,29,244,479,14
5749,25,180,479,4
5779,26,351,482,15
5783,53,175,483,19
5791,33,248,483,8
5801,56,194,484,4
5807,65,131,485,11
5813,39,165,485,3
5821,23,293,485,9
5827,30,120,486,2
5839,37,136,487,18
5843,50,141,488,1
5849,52,197,488,5
5851,42,148,488,6
5857,18,106,488,0
5861,33,208,489,4
5867,42,249,490,7
5869,23,174,489,2
5879,101,159,491,7
5881,26,217,490,3
5897,24,197,492,1
5903,73,283,493,7
5923,14,199,494,1
5927,71,183,495,5
5939,70,218,496,2
5953,22,252,496,6
5981,63,168,499,4
5987,30,227,500,9
6007,27,151,501,5
6011,54,177,502,9
6029,35,251,503,3
6037,17,197,503,1
6043,18,241,504,7
6047,71,161,505,7
6053,25,344,505,4
6067,30,115,506,1
6073,12,249,506,5
6079,57,150,507,6
6089,58,140,508,0
6091,30,211,508,5
6101,53,259,509,5
6113,34,158,510,8
6121,22,178,510,2
6131,62,192,512,4
6133,21,241,511,3
6143,41,154,513,14
6151,59,191,513,9
6163,22,155,514,1
6173,37,171,515,3
6197,35,147,517,1
6199,39,233,517,15
6203,34,202,518,8
6211,30,222,518,6
6217,16,274,518,6
6221,63,142,519,2
6229,23,126,519,2
6247,43,157,521,7
6257,38,133,522,3
6263,77,85,523,7
6269,57,163,523,3
6271,51,154,523,10
6277,23,151,523,1
6287,51,180,525,2
6299,86,119,526,1
6301,21,225,525,7
6311,89,188,527,8
6317,39,108,527,2
6323,42,155,528,3
6329,32,269,528,11
6337,14,86,528,2
6343,33,226,529,12
6353,36,103,530,3
6359,101,114,531,2
6361,26,149,530,3
6367,37,105,531,3
6373,19,207,531,1
6379,34,186,532,6
6389,45,157,533,1
6397,25,259,533,7
6421,21,303,535,7
6427,18,104,536,0
6449,40,153,538,1
6451,34,142,538,6
6469,17,231,539,3
6473,44,92,540,4
6481,28,178,540,2
6491,62,159,542,1
6521,34,107,544,5
6529,40,109,544,1
6547,22,124,546,2
6551,117,64,547,0
6553,18,249,546,1
6563,46,137,548,5
6569,66,130,548,0
6571,30,198,548,0
6577,18,167,548,3
6581,39,203,549,3
6599,109,94,551,4
6607,45,52,551,6
6619,26,90,552,0
6637,11,148,553,0
6653,35,88,555,0
6659,46,177,556,3
6661,23,188,555,2
6673,14,108,556,2
6679,55,102,557,18
6689,36,93,558,1
6691,42,88,558,0
6701,39,160,559,2
6703,23,139,559,5
6709,33,190,559,8
6719,105,26,561,2
6733,19,77,561,1
6737,38,107,562,3
6761,66,66,564,0
6763,18,130,564,0
6779,78,72,566,0
6781,31,104,565,0
6791,81,102,567,4
6793,18,185,566,5
6803,38,113,568,1
6823,33,56,569,0
6827,34,203,570,3
6829,21,85,569,3
6833,34,126,570,2
6841,26,63,570,1
6857,22,55,572,3
6863,81,62,573,0
6869,41,102,573,2
6871,45,106,573,12
6883,18,149,574,3
6899,70,148,576,2
6907,34,93,576,1
6911,87,45,577,1
6917,25,167,577,1
6947,58,39,580,1
6949,35,50,579,0
6959,95,23,581,1
6961,26,51,580,1
6967,33,33,581,3
6971,90,20,582,0
6977,26,110,582,0
6983,57,124,583,6
6991,71,59,583,5
6997,13,58,583,0
7001,28,82,584,4
7013,47,94,585,2
7019,86,51,586,1
7027,22,34,586,0
7039,43,149,587,13
7043,46,66,588,0
7057,18,62,588,2
7069,29,54,589,2
7079,85,25,591,5
7103,77,36,593,0
7109,33,70,593,0
7121,52,43,594,1
7127,79,107,595,7
7129,26,83,594,1
7151,85,66,597,2
7159,65,63,597,1
7177,16,89,598,1
7187,50,36,600,0
7193,40,71,600,3
7207,29,86,601,4
7211,70,24,602,2
7213,21,26,601,0
7219,30,51,602,1
7229,71,60,603,0
7237,23,76,603,0
7243,26,40,604,0
7247,47,82,605,12
7253,31,36,605,0
7283,50,70,608,2
7297,22,52,608,0
7307,50,52,610,0
7309,25,40,609,0
7321,28,51,610,1
7331,66,52,612,2
7333,17,19,611,1
7349,55,64,613,0
7351,33,123,613,1
7369,28,48,614,0
7393,16,37,616,3
7411,50,26,618,0
7417,12,54,618,0
7433,52,69,620,1
7451,70,37,622,1
7457,34,92,622,0
7459,30,108,622,2
7477,15,90,623,2
7481,58,30,624,0
7487,65,51,625,5
7489,36,22,624,0
7499,66,38,626,0
7507,22,14,626,0
7517,47,60,627,0
7523,70,56,628,0
7529,30,56,628,0
7537,22,17,628,1
7541,49,31,629,1
7547,30,101,630,3
7549,35,26,629,0
7559,115,52,631,0
7561,20,77,630,1
7573,19,22,631,0
7577,34,40,632,0
7583,63,54,633,6
7589,61,40,633,0
7591,65,23,633,3
7603,22,19,634,1
7607,89,20,635,0
7621,33,52,635,0
7639,31,50,637,6
7643,58,40,638,0
7649,58,16,638,0
7669,35,36,639,2
7673,28,100,640,0
7681,22,31,640,1
7687,29,4,641,0
7691,86,6,642,0
7699,54,32,642,0
7703,81,12,643,0
7717,23,42,643,0
7723,18,29,644,3
7727,81,34,645,2
7741,29,28,645,0
7753,14,32,646,0
7757,25,32,647,0
7759,49,18,647,2
7789,21,39,649,1
7793,24,58,650,0
7817,54,26,652,0
7823,75,27,653,5
7829,73,26,653,0
7841,48,10,654,0
7853,53,24,655,0
7867,22,18,656,0
7873,22,10,656,0
7877,31,32,657,2
7879,49,39,657,3
7883,34,20,658,0
7901,63,8,659,0
7907,42,83,660,1
7919,97,8,661,0
7927,47,10,661,0
7933,19,22,661,0
7937,46,45,662,1
7949,47,8,663,0
7951,51,29,663,1
7963,26,4,664,0
7993,22,32,666,0
8009,56,16,668,0
8011,50,20,668,0
8017,14,16,668,0
8039,113,8,671,0
8053,15,12,671,0
8059,42,10,672,0
8069,77,4,673,0
8081,56,12,674,0
8087,81,11,675,1
8089,20,8,674,0
8093,39,55,675,3
8101,19,4,675,0
8111,121,2,677,0
8117,37,21,677,1
8123,42,24,678,0
8147,74,10,680,0
8161,44,14,680,0
8167,33,4,681,0
8171,42,18,682,0
8179,50,8,682,0
8191,55,9,683,1
8209,28,14,684,0
8219,70,9,686,1
8221,31,8,685,0
8231,107,6,687,0
8233,14,21,686,1
8237,39,16,687,0
8243,42,14,688,0
8263,43,9,689,1
8269,27,12,689,0
8273,32,4,690,0
8287,45,472,691,26
8291,94,30,692,0
8293,23,4,691,0
